"SEX","COMM","AGEYRS","ELIGIBLE","ROUND","ALREADY_SEEN","DEAD","NOT_WITHIN_ELIGIBLE_AGE_RANGE","OUT_MIGRATED","NONE","NOT_RESIDENT","SEX_INDEX","COMM_INDEX","ELIGIBLE_NOT_SMOOTH"
"F","inland",15,341.5572875158,"06",2,0,0,16,365,57,0,0,373
"F","inland",16,339.156327506205,"06",0,0,0,9,316,73,0,0,320
"F","inland",17,335.519724666192,"06",3,0,0,3,278,53,0,0,280
"F","inland",18,330.560522642935,"06",1,0,0,12,334,85,0,0,340
"F","inland",19,324.421181900172,"06",2,0,0,5,342,65,0,0,344
"F","inland",20,317.770394037115,"06",1,0,0,9,383,75,0,0,388
"F","inland",21,309.937746614486,"06",1,0,0,2,255,36,0,0,256
"F","inland",22,299.844958157969,"06",1,0,0,12,278,51,0,0,284
"F","inland",23,287.901337715945,"06",1,0,0,2,290,43,0,0,291
"F","inland",24,274.761083328348,"06",1,1,0,4,274,31,0,0,276
"F","inland",25,260.73246325112,"06",0,0,0,6,265,41,0,0,268
"F","inland",26,245.825864415806,"06",1,1,0,3,255,30,0,0,256
"F","inland",27,228.960706961433,"06",1,0,0,2,212,29,0,0,213
"F","inland",28,210.831933155806,"06",0,2,0,3,215,26,0,0,216
"F","inland",29,187.659207308069,"06",0,0,0,1,181,22,0,0,182
"F","inland",30,165.374680160475,"06",1,2,0,1,201,18,0,0,202
"F","inland",31,148.868865836793,"06",1,1,0,1,121,18,0,0,122
"F","inland",32,134.839420801973,"06",1,0,0,1,136,11,0,0,136
"F","inland",33,126.178403875699,"06",0,1,0,2,98,12,0,0,99
"F","inland",34,120.994014372004,"06",0,1,0,0,110,10,0,0,110
"F","inland",35,117.063576318551,"06",1,0,0,2,143,14,0,0,144
"F","inland",36,118.563072699973,"06",0,0,0,0,131,12,0,0,131
"F","inland",37,120.640581196707,"06",0,0,0,1,116,9,0,0,116
"F","inland",38,118.000800890047,"06",0,0,0,0,101,11,0,0,101
"F","inland",39,114.000083516063,"06",0,0,0,0,113,6,0,0,113
"F","inland",40,105.203491955462,"06",0,3,0,0,130,12,0,0,130
"F","inland",41,95.7310583520565,"06",0,0,0,0,100,2,0,0,100
"F","inland",42,88.2427548434232,"06",0,1,0,1,77,2,0,0,78
"F","inland",43,81.3237484450818,"06",0,1,0,0,79,5,0,0,79
"F","inland",44,75.5557055022839,"06",0,0,0,0,58,8,0,0,58
"F","inland",45,70.2708568777781,"06",0,0,0,0,67,9,0,0,67
"F","inland",46,65.5558498938667,"06",0,0,0,0,62,4,0,0,62
"F","inland",47,61.4409795843475,"06",0,0,0,0,79,4,0,0,79
"F","inland",48,58.2229639876926,"06",0,0,0,0,60,2,0,0,60
"F","inland",49,55.7224036771528,"06",0,0,0,0,50,5,0,0,50
"M","inland",15,304.554359786062,"06",0,0,0,9,318,51,1,0,322
"M","inland",16,290.68971700471,"06",0,0,0,4,273,44,1,0,275
"M","inland",17,277.785497523229,"06",0,1,0,6,239,48,1,0,242
"M","inland",18,265.747601017344,"06",2,0,0,11,284,80,1,0,290
"M","inland",19,254.778420289268,"06",1,1,0,5,244,58,1,0,246
"M","inland",20,245.313779949317,"06",2,0,0,5,321,57,1,0,324
"M","inland",21,236.942664474726,"06",2,0,0,3,178,31,1,0,180
"M","inland",22,228.600656364205,"06",1,1,0,1,229,38,1,0,230
"M","inland",23,220.947944110005,"06",2,1,0,0,198,29,1,0,198
"M","inland",24,216.363218534324,"06",6,0,0,4,212,36,1,0,214
"M","inland",25,214.106301121479,"06",5,1,0,4,239,35,1,0,241
"M","inland",26,211.14664755208,"06",1,1,0,1,197,25,1,0,198
"M","inland",27,208.888906859984,"06",8,0,0,1,221,26,1,0,222
"M","inland",28,205.390498640007,"06",3,0,0,1,194,22,1,0,194
"M","inland",29,195.619515822798,"06",6,0,0,4,175,23,1,0,177
"M","inland",30,184.721840267577,"06",7,0,0,2,237,44,1,0,238
"M","inland",31,175.20079874986,"06",5,0,0,1,148,19,1,0,148
"M","inland",32,165.069889805905,"06",0,0,0,2,166,17,1,0,167
"M","inland",33,153.281296099523,"06",5,0,0,2,131,9,1,0,132
"M","inland",34,140.296897746765,"06",7,0,0,1,142,12,1,0,142
"M","inland",35,128.861793482015,"06",6,0,0,0,161,18,1,0,161
"M","inland",36,120.897712929273,"06",1,0,0,2,113,9,1,0,114
"M","inland",37,113.526533856036,"06",4,0,0,0,100,8,1,0,100
"M","inland",38,104.682144596357,"06",6,0,0,2,92,12,1,0,93
"M","inland",39,95.8999590492569,"06",6,0,0,1,89,3,1,0,90
"M","inland",40,87.5372945291997,"06",2,1,0,0,126,14,1,0,126
"M","inland",41,79.6746748948986,"06",2,0,0,0,70,5,1,0,70
"M","inland",42,71.7930458113062,"06",4,0,0,1,62,11,1,0,62
"M","inland",43,64.76809737225,"06",3,0,0,3,65,8,1,0,66
"M","inland",44,59.2667730682624,"06",3,0,0,0,56,6,1,0,56
"M","inland",45,54.7034627827971,"06",0,0,0,2,51,7,1,0,52
"M","inland",46,51.257414842269,"06",1,0,0,0,47,4,1,0,47
"M","inland",47,48.8368023233632,"06",2,0,0,1,43,7,1,0,44
"M","inland",48,47.6787850737802,"06",4,0,0,0,54,8,1,0,54
"M","inland",49,47.6603368610574,"06",1,0,0,0,49,4,1,0,49
"F","inland",15,346.377579813461,"07",0,0,0,16,356,93,0,0,364
"F","inland",16,349.21460751431,"07",0,0,0,10,334,68,0,0,339
"F","inland",17,349.801996066788,"07",0,0,0,12,306,89,0,0,312
"F","inland",18,347.848037474749,"07",2,0,0,17,344,91,0,0,352
"F","inland",19,343.851877466855,"07",1,0,0,11,329,91,0,0,334
"F","inland",20,338.15750850173,"07",2,0,0,7,429,98,0,0,432
"F","inland",21,330.591675437572,"07",3,0,0,3,324,59,0,0,326
"F","inland",22,319.644599896302,"07",2,0,0,6,266,56,0,0,269
"F","inland",23,306.424540006568,"07",2,2,0,2,301,63,0,0,302
"F","inland",24,292.958925667472,"07",1,1,0,5,278,56,0,0,280
"F","inland",25,278.670477293819,"07",3,1,0,5,303,47,0,0,306
"F","inland",26,263.618320443537,"07",2,1,0,4,250,53,0,0,252
"F","inland",27,249.197507398708,"07",0,0,0,1,256,36,0,0,256
"F","inland",28,233.31237627195,"07",1,0,0,5,226,34,0,0,228
"F","inland",29,208.08249381596,"07",2,1,0,0,205,29,0,0,205
"F","inland",30,182.929498827275,"07",2,0,0,2,235,30,0,0,236
"F","inland",31,162.79320027919,"07",1,0,0,2,127,21,0,0,128
"F","inland",32,144.959024214865,"07",1,1,0,1,132,18,0,0,132
"F","inland",33,133.518052267342,"07",0,0,0,2,110,11,0,0,111
"F","inland",34,125.544844941027,"07",0,0,0,0,115,14,0,0,115
"F","inland",35,119.80920851724,"07",0,1,0,0,153,15,0,0,153
"F","inland",36,121.333229195005,"07",1,0,0,1,124,14,0,0,124
"F","inland",37,124.076259609896,"07",0,0,0,1,122,15,0,0,122
"F","inland",38,122.258387730201,"07",0,0,0,1,114,12,0,0,114
"F","inland",39,119.274225712176,"07",0,0,0,0,101,8,0,0,101
"F","inland",40,112.63148955517,"07",0,1,0,1,149,9,0,0,150
"F","inland",41,104.966852606079,"07",0,0,0,1,100,9,0,0,100
"F","inland",42,96.230138240975,"07",0,0,0,0,95,3,0,0,95
"F","inland",43,87.7839378676683,"07",0,0,0,1,83,9,0,0,84
"F","inland",44,81.1958341250399,"07",0,0,0,1,73,4,0,0,74
"F","inland",45,75.0066188924371,"07",1,0,0,1,70,3,0,0,70
"F","inland",46,69.4905655672915,"07",0,0,0,1,55,4,0,0,56
"F","inland",47,64.5159808826041,"07",0,0,0,0,58,5,0,0,58
"F","inland",48,60.5004428586975,"07",1,0,0,0,78,5,0,0,78
"F","inland",49,57.2311815742391,"07",0,0,0,0,56,0,0,0,56
"M","inland",15,333.851063143518,"07",0,0,0,6,360,48,1,0,363
"M","inland",16,312.785256534045,"07",0,0,0,5,295,54,1,0,298
"M","inland",17,294.255519927773,"07",0,0,0,6,253,43,1,0,256
"M","inland",18,278.387521936765,"07",0,0,0,4,302,76,1,0,304
"M","inland",19,264.907730793656,"07",2,0,0,2,207,79,1,0,208
"M","inland",20,254.414020106155,"07",1,1,0,7,321,80,1,0,324
"M","inland",21,246.191910759037,"07",1,1,0,3,222,36,1,0,224
"M","inland",22,241.318695380389,"07",1,0,0,3,237,39,1,0,238
"M","inland",23,238.088733758117,"07",5,0,0,4,242,29,1,0,244
"M","inland",24,235.138261252495,"07",4,0,0,3,201,39,1,0,202
"M","inland",25,233.65771860713,"07",2,0,0,1,259,36,1,0,260
"M","inland",26,231.020741927472,"07",6,0,0,0,221,30,1,0,221
"M","inland",27,229.933754150328,"07",4,0,0,1,231,44,1,0,232
"M","inland",28,227.217787627743,"07",7,0,0,2,247,22,1,0,248
"M","inland",29,216.633659277557,"07",3,0,0,1,175,28,1,0,176
"M","inland",30,204.304439444372,"07",7,0,0,4,255,41,1,0,257
"M","inland",31,190.338177985337,"07",9,0,0,4,176,27,1,0,178
"M","inland",32,175.746684410522,"07",4,0,0,4,176,19,1,0,178
"M","inland",33,162.618295754104,"07",4,0,0,3,134,17,1,0,136
"M","inland",34,148.933766945663,"07",3,0,0,1,135,22,1,0,136
"M","inland",35,136.97629467613,"07",5,0,0,1,162,27,1,0,162
"M","inland",36,129.399428504544,"07",7,0,0,0,136,13,1,0,136
"M","inland",37,122.598781420913,"07",3,0,0,1,111,13,1,0,112
"M","inland",38,113.911177749753,"07",3,0,0,0,118,17,1,0,118
"M","inland",39,105.210886900611,"07",4,0,0,1,79,4,1,0,80
"M","inland",40,95.0634162961304,"07",6,0,0,1,133,15,1,0,134
"M","inland",41,85.3024185507663,"07",1,1,0,1,81,5,1,0,82
"M","inland",42,77.3354618956168,"07",1,0,0,1,63,10,1,0,64
"M","inland",43,70.399398190692,"07",4,0,0,0,66,3,1,0,66
"M","inland",44,64.7836610407616,"07",3,0,0,1,60,5,1,0,60
"M","inland",45,60.2633710767963,"07",2,1,0,1,74,4,1,0,74
"M","inland",46,56.9921188866494,"07",0,0,0,1,44,10,1,0,44
"M","inland",47,54.8776921636989,"07",3,0,0,1,57,5,1,0,58
"M","inland",48,54.0632892603425,"07",2,0,0,1,54,5,1,0,54
"M","inland",49,54.4683294980715,"07",2,0,0,1,55,6,1,0,56
"F","inland",15,360.438048797091,"08",1,1,0,4,380,106,0,0,382
"F","inland",16,366.344238384259,"08",0,0,0,10,367,117,0,0,372
"F","inland",17,369.866230057141,"08",1,0,0,12,296,92,0,0,302
"F","inland",18,370.856533330898,"08",0,0,0,10,391,124,0,0,396
"F","inland",19,369.49454242154,"08",4,0,0,10,358,101,0,0,363
"F","inland",20,366.129735783662,"08",1,0,0,10,375,130,0,0,380
"F","inland",21,360.486449568108,"08",1,1,0,9,387,80,0,0,392
"F","inland",22,352.433872650138,"08",0,1,0,5,345,65,0,0,348
"F","inland",23,341.639144438334,"08",1,0,0,9,328,72,0,0,332
"F","inland",24,327.008508018308,"08",1,0,0,5,306,70,0,0,308
"F","inland",25,309.416495668098,"08",0,0,0,4,304,65,0,0,306
"F","inland",26,290.950195569491,"08",1,0,0,4,301,66,0,0,303
"F","inland",27,272.459206104858,"08",1,1,0,4,267,52,0,0,269
"F","inland",28,252.733976085542,"08",0,0,0,1,270,46,0,0,270
"F","inland",29,226.899825940125,"08",3,0,0,3,212,42,0,0,214
"F","inland",30,201.182212171318,"08",1,3,0,3,223,44,0,0,224
"F","inland",31,177.357183490572,"08",2,0,0,2,170,22,0,0,171
"F","inland",32,155.836309091153,"08",0,0,0,3,143,27,0,0,144
