"AGEYRS","ROUND","SEX","COMM","PARTICIPANT","PARTICIPATION"
15,"06","F","inland",169,0.491032068409192
15,"06","M","inland",104,0.402635530086719
15,"07","F","inland",120,0.405474773680553
15,"07","M","inland",93,0.328712329529507
15,"08","F","inland",120,0.350551085866721
15,"08","M","inland",85,0.319026319572568
15,"09","F","inland",73,0.223131233248209
15,"09","M","inland",65,0.204766866447205
15,"10","F","inland",81,0.198224341690474
15,"10","M","inland",64,0.196075818213553
15,"11","F","inland",115,0.265951679889527
15,"11","M","inland",104,0.256717583516444
15,"12","F","inland",155,0.349568799702826
15,"12","M","inland",156,0.377218427990069
15,"13","F","inland",181,0.37588747306573
15,"13","M","inland",146,0.402749907824907
15,"14","F","inland",180,0.410767581662624
15,"14","M","inland",161,0.444857061313533
15,"15","F","fishing",15,0.502442515775611
15,"15","F","inland",245,0.424104365102825
15,"15","M","fishing",14,0.334493073936031
15,"15","M","inland",248,0.505441571762529
15,"15S","F","fishing",21,0.457632334852699
15,"15S","M","fishing",19,0.415478223753533
15,"16","F","fishing",14,0.222270369269633
15,"16","F","inland",301,0.436083051774237
15,"16","M","fishing",16,0.299448367098392
15,"16","M","inland",280,0.492251135240905
15,"17","F","fishing",18,0.206787699577372
15,"17","F","inland",305,0.430281510617856
15,"17","M","fishing",24,0.293499143615374
15,"17","M","inland",266,0.480135939360183
15,"18","F","fishing",25,0.326398300423283
15,"18","F","inland",326,0.451392288549134
15,"18","M","fishing",31,0.428490394498818
15,"18","M","inland",315,0.511082990924501
16,"06","F","inland",187,0.574786485226198
16,"06","M","inland",143,0.464952109854074
16,"07","F","inland",179,0.514941465146703
16,"07","M","inland",133,0.405351026356139
16,"08","F","inland",172,0.474154639394478
16,"08","M","inland",147,0.402037156366804
16,"09","F","inland",122,0.341057288202199
16,"09","M","inland",94,0.278269182153048
16,"10","F","inland",122,0.302326422431898
16,"10","M","inland",100,0.259547746479626
16,"11","F","inland",138,0.348127462241498
16,"11","M","inland",115,0.312136734237869
16,"12","F","inland",162,0.404199245068257
16,"12","M","inland",160,0.406519089706692
16,"13","F","inland",161,0.411672998675207
16,"13","M","inland",209,0.426180333554371
16,"14","F","inland",185,0.443936011155427
16,"14","M","inland",215,0.472448261372074
16,"15","F","fishing",22,0.605931818657024
16,"15","F","inland",252,0.464234929404908
16,"15","M","fishing",25,0.4873782551962
16,"15","M","inland",284,0.5261396385776
16,"15S","F","fishing",29,0.567183679831112
16,"15S","M","fishing",25,0.48314032158668
16,"16","F","fishing",16,0.412030061442567
16,"16","F","inland",282,0.468691750267787
16,"16","M","fishing",27,0.403613372187292
16,"16","M","inland",281,0.510801512285463
16,"17","F","fishing",20,0.369715044716561
16,"17","F","inland",343,0.461594835127871
16,"17","M","fishing",24,0.353899161213183
16,"17","M","inland",351,0.506219570337929
16,"18","F","fishing",24,0.432709299114659
16,"18","F","inland",322,0.47565826201886
16,"18","M","fishing",40,0.475129751517632
16,"18","M","inland",330,0.525416335599781
17,"06","F","inland",194,0.647324658263006
17,"06","M","inland",139,0.523046732386703
17,"07","F","inland",216,0.606667467322076
17,"07","M","inland",148,0.479497378112542
17,"08","F","inland",191,0.576434090159217
17,"08","M","inland",163,0.480307588298324
17,"09","F","inland",137,0.451707208241673
17,"09","M","inland",110,0.355921668445628
17,"10","F","inland",133,0.408351253072385
17,"10","M","inland",114,0.329654001886943
17,"11","F","inland",140,0.433526430280472
17,"11","M","inland",114,0.374296531032118
17,"12","F","inland",162,0.461506291597026
17,"12","M","inland",143,0.438561930490609
17,"13","F","inland",157,0.45298510904779
17,"13","M","inland",161,0.453029482023109
17,"14","F","inland",203,0.479859071027628
17,"14","M","inland",199,0.501441468158725
17,"15","F","fishing",34,0.655053548137608
17,"15","F","inland",249,0.504151308984445
17,"15","M","fishing",18,0.577750278584169
17,"15","M","inland",253,0.545859518170493
17,"15S","F","fishing",31,0.620767503132207
17,"15S","M","fishing",26,0.53049199727544
17,"16","F","fishing",31,0.50372163739112
17,"16","F","inland",273,0.502194662428608
17,"16","M","fishing",27,0.480726115454554
17,"16","M","inland",306,0.529169410126023
17,"17","F","fishing",34,0.456734013631978
17,"17","F","inland",268,0.494533608886068
17,"17","M","fishing",28,0.400600114850575
17,"17","M","inland",288,0.532175857582026
17,"18","F","fishing",40,0.491855707635025
17,"18","F","inland",311,0.500909340470709
17,"18","M","fishing",48,0.509712624202299
17,"18","M","inland",322,0.539809933546773
18,"06","F","inland",249,0.708309127857113
18,"06","M","inland",174,0.57494433890126
18,"07","F","inland",252,0.681264509368047
18,"07","M","inland",176,0.547481712298755
18,"08","F","inland",279,0.658612604060596
18,"08","M","inland",207,0.550463744658689
18,"09","F","inland",185,0.551270556640939
18,"09","M","inland",148,0.433746466400957
18,"10","F","inland",158,0.511180083608599
18,"10","M","inland",134,0.403279232508137
18,"11","F","inland",172,0.518877243202036
18,"11","M","inland",142,0.441341236276412
18,"12","F","inland",188,0.519666901531646
18,"12","M","inland",166,0.472147837611394
18,"13","F","inland",203,0.499421329196639
18,"13","M","inland",146,0.483072339936616
18,"14","F","inland",195,0.517528803827605
18,"14","M","inland",191,0.530375487324674
18,"15","F","fishing",61,0.685091350282662
18,"15","F","inland",306,0.542913511861694
18,"15","M","fishing",39,0.632134388499198
18,"15","M","inland",275,0.563390641955814
18,"15S","F","fishing",49,0.65116419761038
18,"15S","M","fishing",37,0.565598796557757
18,"16","F","fishing",44,0.555660236049934
18,"16","F","inland",320,0.536010145675629
18,"16","M","fishing",48,0.535010246554921
18,"16","M","inland",289,0.546478680738146
18,"17","F","fishing",64,0.510301802017112
18,"17","F","inland",342,0.528659771470032
