"ROUND","SEX","COMM","AGEYRS","COUNT","TOTAL_COUNT"
"R006","F","inland",20,30,309
"R008","F","inland",22,35,297
"R006","F","inland",35,30,115
"R007","F","inland",36,26,101
"R008","F","inland",37,24,105
"R009","F","inland",38,14,77
"R010","F","inland",39,19,72
"R011","F","inland",41,23,85
"R012","F","inland",42,21,66
"R013","F","inland",44,25,78
"R014","F","inland",46,21,88
"R015","F","inland",47,24,83
"R006","F","inland",27,38,178
"R007","F","inland",30,47,184
"R008","F","inland",31,42,157
"R009","F","inland",32,29,116
"R010","F","inland",34,16,86
"R011","F","inland",33,30,136
"R012","F","inland",35,30,117
"R013","F","inland",37,31,127
"R014","F","inland",38,27,125
"R015","F","inland",40,42,163
"R016","F","inland",42,39,148
"R017","F","inland",43,41,151
"R018","F","inland",45,40,132
"R006","M","inland",35,21,101
"R007","M","inland",36,29,98
"R008","M","inland",37,28,93
"R012","M","inland",43,14,49
"R013","M","inland",45,13,52
"R014","M","inland",46,15,50
"R015","M","inland",48,16,56
"R007","M","inland",38,19,81
"R008","M","inland",39,18,74
"R009","M","inland",40,11,47
"R010","M","inland",41,10,50
"R011","M","inland",43,11,48
"R012","M","inland",45,12,57
"R013","M","inland",46,8,41
"R014","M","inland",48,8,42
"R006","M","inland",26,11,148
"R007","M","inland",28,18,173
"R008","M","inland",30,23,143
"R010","M","inland",32,16,89
"R011","M","inland",32,14,123
"R012","M","inland",33,11,125
"R013","M","inland",35,12,111
"R014","M","inland",37,17,112
"R015","M","inland",38,32,158
"R016","M","inland",40,28,158
"R017","M","inland",42,30,146
"R018","M","inland",43,18,147
"R007","M","inland",45,4,47
"R008","M","inland",46,2,40
"R006","F","inland",24,40,243
"R007","F","inland",25,38,253
"R008","F","inland",26,39,264
"R009","F","inland",27,34,189
"R010","F","inland",28,31,183
"R011","F","inland",30,39,196
"R012","F","inland",31,43,184
"R013","F","inland",33,29,160
"R015","F","inland",36,58,230
"R006","M","inland",49,2,35
"R006","F","inland",36,21,105
"R007","F","inland",37,25,109
"R006","F","inland",45,6,47
"R007","F","inland",46,4,43
"R008","F","inland",47,4,46
"R009","F","inland",48,2,39
"R010","F","inland",49,2,40
"R006","F","inland",32,22,110
"R007","F","inland",33,31,106
"R008","F","inland",34,25,108
"R009","F","inland",35,15,83
"R010","F","inland",36,14,93
"R011","F","inland",38,14,75
"R012","F","inland",39,18,73
"R013","F","inland",41,14,81
"R006","M","inland",23,4,140
"R007","M","inland",24,9,146
"R008","M","inland",25,13,179
"R009","M","inland",26,9,117
"R011","M","inland",29,17,147
"R012","M","inland",31,23,143
"R013","M","inland",33,24,137
"R014","M","inland",34,22,140
"R015","M","inland",36,28,158
"R016","M","inland",38,31,163
"R017","M","inland",39,34,171
"R018","M","inland",41,30,159
"R016","F","inland",48,16,70
"R006","M","inland",19,2,179
"R007","M","inland",20,4,208
"R008","M","inland",21,6,195
"R009","M","inland",22,8,146
"R010","M","inland",23,10,127
"R011","M","inland",25,10,145
"R012","M","inland",26,19,148
"R013","M","inland",28,17,138
"R014","M","inland",30,31,170
"R016","M","inland",33,22,176
"R017","M","inland",35,31,194
"R018","M","inland",36,17,138
"R010","F","inland",23,22,250
"R010","F","inland",38,15,82
"R011","F","inland",42,16,79
"R012","F","inland",44,16,66
"R013","F","inland",45,18,80
"R014","F","inland",47,20,87
"R015","F","inland",48,20,81
"R006","M","inland",30,23,154
"R007","M","inland",31,20,136
"R008","M","inland",32,20,147
"R007","M","inland",30,21,159
"R008","M","inland",31,19,147
"R009","M","inland",32,17,109
"R010","M","inland",33,18,93
"R011","M","inland",36,18,106
"R012","M","inland",37,14,85
"R013","M","inland",39,17,90
"R014","M","inland",41,16,98
"R015","M","inland",42,22,124
"R016","M","inland",44,17,118
"R017","M","inland",45,23,125
"R018","M","inland",47,23,119
"R009","M","inland",27,13,139
"R010","M","inland",28,13,123
"R008","F","inland",38,26,114
"R012","F","inland",43,17,85
"R006","F","inland",25,26,216
"R008","F","inland",27,37,220
"R009","F","inland",28,36,167
"R016","F","inland",40,44,199
"R017","F","inland",41,49,193
"R018","F","inland",43,45,183
"R006","M","inland",18,0,174
"R009","F","inland",36,20,67
"R006","M","inland",32,15,111
"R007","M","inland",33,10,99
"R008","M","inland",34,23,118
"R006","F","inland",41,10,84
"R007","F","inland",42,6,78
"R008","F","inland",43,11,93
"R009","F","inland",44,10,64
"R010","F","inland",45,11,70
"R011","F","inland",47,8,72
"R012","F","inland",48,13,81
"R006","M","inland",39,12,67
"R007","M","inland",40,17,74
"R008","M","inland",42,9,61
"R009","M","inland",43,8,50
"R010","M","inland",44,8,54
"R011","M","inland",46,3,34
"R012","M","inland",47,9,44
"R013","M","inland",49,10,39
"R006","M","inland",41,11,51
"R007","M","inland",42,7,43
"R008","M","inland",43,7,46
"R006","F","inland",26,46,227
"R007","F","inland",27,44,222
"R008","F","inland",28,50,224
"R009","F","inland",29,32,160
"R010","F","inland",30,37,154
"R011","F","inland",32,40,161
"R012","F","inland",34,38,159
"R013","F","inland",36,25,123
"R014","F","inland",37,43,156
"R015","F","inland",39,43,166
"R016","F","inland",41,40,162
"R017","F","inland",42,44,178
"R018","F","inland",44,40,164
"R006","F","inland",42,9,63
"R011","F","inland",48,9,56
"R012","F","inland",49,6,54
"R006","M","inland",46,7,40
"R007","M","inland",48,5,35
"R008","M","inland",49,3,41
"R006","M","inland",25,13,170
"R007","M","inland",26,14,161
"R008","M","inland",27,17,177
"R009","M","inland",28,11,133
"R010","M","inland",29,22,139
"R011","M","inland",31,17,131
"R012","M","inland",32,18,137
"R016","M","inland",39,35,169
"R018","M","inland",42,27,171
"R014","F","inland",43,18,66
"R015","F","inland",44,27,100
"R016","F","inland",46,26,87
"R007","M","inland",39,9,53
"R008","M","inland",40,14,67
"R009","M","inland",41,12,53
"R010","M","inland",42,12,48
"R011","M","inland",45,8,54
"R012","M","inland",46,10,41
"R013","M","inland",48,5,41
"R006","M","inland",42,11,45
"R007","M","inland",44,9,47
"R008","M","inland",45,8,55
"R009","M","inland",46,5,39
"R010","M","inland",47,4,26
"R011","M","inland",48,3,36
"R012","M","inland",49,2,35
"R006","F","inland",30,38,160
"R007","F","inland",21,34,262
"R009","F","inland",23,19,218
"R010","F","inland",24,21,210
"R011","F","inland",26,37,234
"R012","F","inland",28,33,216
"R016","F","inland",36,60,253
"R017","F","inland",37,48,216
"R018","F","inland",39,51,223
"R007","M","inland",23,10,178
"R012","M","inland",30,17,114
"R006","M","inland",33,18,100
"R008","M","inland",35,20,104
"R009","M","inland",36,15,86
"R010","M","inland",37,12,80
"R011","M","inland",39,13,68
"R012","M","inland",40,15,92
"R014","M","inland",44,14,64
"R016","M","inland",47,24,95
"R017","M","inland",49,17,77
"R006","F","inland",22,21,247
"R007","F","inland",23,25,249
"R006","M","inland",21,2,117
"R007","M","inland",22,3,152
"R008","M","inland",23,14,194
"R009","M","inland",24,11,136
"R010","M","inland",25,11,114
"R011","M","inland",27,14,132
"R012","M","inland",29,13,119
"R014","M","inland",32,17,131
"R018","M","inland",39,22,143
"R006","M","inland",36,21,78
"R007","M","inland",37,19,81
"R008","M","inland",38,23,80
"R015","M","inland",39,23,136
"R016","M","inland",41,20,129
"R010","F","inland",29,32,169
"R016","F","inland",38,58,215
"R017","F","inland",40,71,219
"R018","F","inland",42,55,183
"R006","M","inland",40,10,67
"R007","M","inland",41,13,68
"R007","F","inland",26,33,221
"R011","F","inland",31,23,157
"R012","F","inland",32,44,184
"R013","F","inland",34,48,172
"R014","F","inland",36,39,152
"R015","F","inland",37,51,194
"R016","F","inland",39,61,194
"R006","F","inland",37,14,93
"R007","F","inland",38,15,88
"R008","F","inland",39,13,97
"R009","F","inland",40,14,81
"R010","F","inland",41,13,72
"R009","M","inland",35,12,69
"R010","M","inland",36,10,78
"R013","M","inland",42,16,83
"R015","M","inland",45,21,92
"R017","F","inland",38,64,228
"R018","F","inland",40,48,207
"R006","M","inland",27,21,157
"R016","M","inland",48,18,74
"R007","M","inland",29,13,124
"R007","F","inland",24,44,237
"R008","F","inland",25,42,241
"R009","F","inland",26,28,185
"R010","F","inland",27,28,181
"R014","F","inland",35,46,185
"R008","F","inland",29,42,181
"R009","F","inland",30,34,151
"R010","F","inland",31,38,137
"R016","F","inland",45,19,106
"R017","F","inland",46,22,122
"R018","F","inland",48,21,111
"R007","F","inland",22,21,233
"R008","F","inland",23,29,267
"R009","F","inland",24,17,185
"R010","F","inland",25,28,214
"R011","F","inland",28,36,213
"R012","F","inland",30,32,174
"R013","F","inland",31,37,207
"R014","F","inland",33,43,175
"R015","F","inland",34,58,259
"R006","F","inland",34,17,98
"R007","F","inland",35,20,117
"R009","F","inland",37,22,95
"R007","F","inland",29,39,177
"R017","M","inland",41,33,167
"R006","F","inland",19,12,276
"R008","F","inland",21,33,334
"R009","F","inland",22,20,251
"R011","F","inland",25,33,241
"R012","F","inland",27,41,252
"R013","F","inland",28,31,220
"R014","F","inland",30,36,244
"R015","F","inland",31,48,259
"R016","F","inland",33,48,250
"R017","F","inland",35,48,266
"R016","F","inland",47,24,80
"R017","F","inland",48,24,88
"R010","F","inland",32,17,122
"R009","F","inland",39,12,76
"R010","F","inland",40,18,84
"R013","F","inland",46,16,71
"R015","F","inland",49,20,68
"R016","M","inland",45,20,112
"R017","M","inland",46,20,117
"R018","M","inland",48,16,99
"R006","F","inland",28,39,176
"R008","F","inland",30,39,168
"R009","F","inland",31,23,131
"R011","F","inland",34,25,130
"R012","F","inland",36,18,111
"R014","F","inland",39,21,109
"R017","F","inland",44,29,144
"R018","F","inland",46,35,135
"R010","F","inland",42,8,72
"R011","F","inland",43,8,68
