"ROUND","SEX","COMM","AGEYRS","COUNT","TOTAL_COUNT"
"R006","F","inland",27,0,38
"R009","F","inland",36,0,5
"R006","M","inland",36,0,21
"R006","M","inland",40,0,10
"R006","M","inland",27,0,21
"R016","M","inland",48,2,5
"R016","M","inland",45,3,3
"R016","F","inland",45,3,5
"R017","F","inland",44,3,3
"R011","F","inland",48,0,1
"R006","M","inland",44,0,5
"R006","M","inland",29,0,22
"R007","M","inland",36,0,9
"R017","F","inland",41,6,8
"R006","M","inland",37,0,14
"R007","F","inland",29,0,10
"R015","M","fishing",33,13,37
"R006","F","inland",32,0,22
"R010","M","inland",40,0,3
"R006","F","inland",44,0,5
"R017","F","inland",40,10,13
"R006","M","inland",32,0,15
"R006","F","inland",46,0,8
"R006","F","inland",24,0,40
"R006","F","inland",29,0,38
"R006","M","inland",35,0,21
"R006","M","inland",33,0,18
"R006","F","inland",30,0,38
"R006","M","inland",30,0,23
"R015","F","fishing",38,12,25
"R012","F","inland",29,0,12
"R006","F","inland",42,0,9
"R010","F","inland",24,0,7
"R018","F","inland",30,10,17
"R006","F","inland",37,0,14
"R006","M","inland",25,0,13
"R015","F","fishing",33,18,34
"R006","F","inland",38,0,11
"R006","F","inland",35,0,30
"R008","F","inland",33,0,10
"R007","F","inland",22,0,10
"R009","M","inland",34,0,3
"R017","F","inland",42,4,4
"R006","F","inland",18,0,12
"R006","M","inland",31,0,13
"R006","F","inland",47,0,5
"R006","F","inland",26,0,46
"R006","F","inland",23,0,42
"R015","F","fishing",30,11,53
"R016","F","fishing",34,5,8
"R016","M","inland",49,0,1
"R016","M","inland",41,4,4
"R017","M","fishing",45,2,4
"R006","F","inland",20,0,30
"R006","F","inland",33,0,28
"R010","F","inland",26,0,5
"R018","M","inland",35,3,6
"R006","F","inland",25,0,26
"R006","M","inland",34,0,19
"R013","F","inland",35,1,2
"R006","M","inland",41,0,11
"R006","F","inland",40,0,17
"R008","F","inland",31,0,10
"R007","M","inland",40,0,6
"R008","F","inland",29,0,6
"R006","F","inland",22,0,21
"R008","F","inland",34,0,4
"R006","F","inland",36,0,21
"R006","M","inland",38,0,15
"R006","M","inland",24,0,11
"R006","F","inland",28,0,39
"R006","F","inland",31,0,38
"R016","F","inland",29,7,14
"R006","F","inland",34,0,17
"R006","F","inland",17,0,6
"R006","F","inland",21,0,22
"R006","F","inland",19,0,12
"R007","M","inland",32,0,3
"R007","M","inland",29,0,1
"R007","F","inland",20,0,24
"R007","F","inland",44,0,1
"R007","M","inland",31,0,8
"R007","F","inland",24,0,10
"R007","F","inland",23,0,5
"R007","F","inland",25,0,13
"R007","M","inland",33,0,4
"R016","F","inland",31,10,14
"R007","F","inland",31,0,7
"R007","F","inland",28,0,14
"R007","F","inland",30,0,12
"R007","M","inland",30,0,6
"R007","F","inland",21,0,10
"R007","F","inland",19,0,10
"R008","M","inland",27,0,4
"R008","F","inland",37,0,3
"R008","M","inland",24,0,4
"R008","F","inland",30,0,6
"R008","F","inland",40,0,3
"R008","F","inland",28,0,16
"R008","F","inland",21,0,15
"R008","M","inland",34,0,10
"R008","F","inland",16,0,3
"R018","F","fishing",31,8,9
"R012","F","inland",15,0,2
"R008","F","inland",20,0,12
"R008","M","inland",22,0,2
"R008","F","inland",24,0,18
"R008","F","inland",32,0,7
"R008","M","inland",23,0,6
"R008","M","inland",38,0,3
"R008","F","inland",18,0,10
"R008","M","inland",43,0,1
"R008","F","inland",35,0,4
"R008","F","inland",22,0,14
"R008","M","inland",21,0,3
"R009","M","inland",46,0,1
"R009","F","inland",29,0,8
"R009","F","inland",24,0,6
"R009","F","inland",40,0,2
"R013","F","inland",24,0,7
"R009","F","inland",47,0,2
"R009","F","inland",27,0,10
"R010","F","inland",31,0,7
"R009","F","inland",31,0,4
"R009","M","inland",32,0,1
"R009","M","inland",26,0,3
"R009","F","inland",30,0,6
"R010","M","inland",31,0,3
"R015","F","inland",20,5,17
"R010","M","inland",38,0,1
"R010","M","inland",24,0,1
"R017","F","inland",33,11,14
"R010","F","inland",21,0,10
"R010","F","inland",39,0,1
"R010","F","inland",19,0,4
"R010","F","inland",27,0,10
"R010","M","inland",42,0,3
"R010","F","inland",32,0,3
"R010","F","inland",16,0,1
"R011","F","inland",27,0,9
"R011","F","inland",25,0,6
"R011","F","inland",39,0,2
"R011","M","inland",29,0,3
"R011","F","inland",40,0,2
"R011","F","inland",20,0,6
"R011","M","inland",41,0,2
"R011","M","inland",39,1,3
"R011","F","inland",19,0,11
"R011","F","inland",34,0,3
"R011","M","inland",21,0,1
"R011","F","inland",30,0,11
"R011","M","inland",26,0,5
"R011","F","inland",26,1,8
"R011","F","inland",37,0,2
"R011","F","inland",41,1,2
"R011","F","inland",21,0,6
"R011","F","inland",23,1,9
"R012","M","inland",46,0,1
"R012","F","inland",19,0,5
"R012","M","inland",34,1,3
"R012","F","inland",25,0,12
"R012","F","inland",20,0,7
"R012","F","inland",22,0,11
"R012","M","inland",35,0,3
"R012","F","inland",31,1,7
"R012","F","inland",44,1,1
"R016","F","inland",35,13,19
"R012","M","inland",26,0,4
"R015","F","fishing",34,17,33
"R016","M","inland",33,1,3
"R018","F","inland",45,1,3
"R017","F","inland",29,15,19
"R012","M","inland",36,0,2
"R012","F","inland",27,0,12
"R012","F","inland",21,0,11
"R012","M","inland",28,0,4
"R012","F","inland",26,0,7
