"ROUND","SEX","COMM","AGEYRS","COUNT","TOTAL_COUNT"
"R006","F","inland",27,0,38
"R007","F","inland",30,0,47
"R008","F","inland",31,0,42
"R009","F","inland",32,0,29
"R010","F","inland",34,0,16
"R011","F","inland",33,5,30
"R012","F","inland",35,5,30
"R013","F","inland",37,13,31
"R014","F","inland",38,11,27
"R015","F","inland",40,22,41
"R016","F","inland",42,30,39
"R017","F","inland",43,35,40
"R018","F","inland",45,36,39
"R008","M","inland",37,0,28
"R012","M","inland",43,7,14
"R013","M","inland",45,4,13
"R014","M","inland",46,10,15
"R015","M","inland",48,10,16
"R015","F","inland",48,13,20
"R009","F","inland",36,0,20
"R006","M","inland",36,0,21
"R007","M","inland",37,0,19
"R008","M","inland",38,0,23
"R006","M","inland",40,0,10
"R007","M","inland",41,0,13
"R008","M","inland",42,0,9
"R006","M","inland",27,0,21
"R007","M","inland",29,0,13
"R008","M","inland",30,0,23
"R016","M","inland",48,10,18
"R017","M","inland",49,12,17
"R016","M","inland",45,12,15
"R017","M","inland",46,14,18
"R018","M","inland",48,15,16
"R016","F","inland",45,15,18
"R017","F","inland",47,22,23
"R018","F","inland",48,19,21
"R017","F","inland",44,26,29
"R018","F","inland",46,37,37
"R011","F","inland",48,3,9
"R010","F","inland",29,0,32
"R011","F","inland",31,3,23
"R012","F","inland",33,7,33
"R013","F","inland",34,18,48
"R014","F","inland",36,13,39
"R015","F","inland",37,31,50
"R016","F","inland",39,47,60
"R017","F","inland",41,42,48
"R018","F","inland",43,41,42
"R006","M","inland",44,0,5
"R007","M","inland",45,0,4
"R006","M","inland",29,0,22
"R007","M","inland",30,0,21
"R008","M","inland",31,0,19
"R009","M","inland",32,0,17
"R010","M","inland",33,0,18
"R011","M","inland",35,3,15
"R013","M","inland",38,6,16
"R014","M","inland",40,8,19
"R015","M","inland",41,7,20
"R016","M","inland",44,12,18
"R017","M","inland",45,16,24
"R018","M","inland",47,17,21
"R017","M","inland",41,25,33
"R007","M","inland",36,0,29
"R009","M","inland",38,0,17
"R010","M","inland",39,0,13
"R011","M","inland",41,3,15
"R012","M","inland",42,1,10
"R013","M","inland",44,7,15
"R015","M","inland",47,7,16
"R016","M","inland",49,9,15
"R009","M","inland",43,0,8
"R007","M","inland",28,0,18
"R008","M","inland",29,0,23
"R009","M","inland",30,0,18
"R006","M","inland",37,0,14
"R008","M","inland",39,0,18
"R010","M","inland",41,0,10
"R011","M","inland",43,2,11
"R013","M","inland",46,3,8
"R015","M","inland",49,1,6
"R013","F","inland",32,8,37
"R007","F","inland",29,0,39
"R008","F","inland",30,0,39
"R016","F","inland",43,22,26
"R016","F","inland",41,25,39
"R007","M","inland",31,0,20
"R015","M","fishing",33,13,39
"R006","F","inland",32,0,22
"R007","M","inland",34,0,20
"R010","M","inland",40,0,13
"R006","F","inland",44,0,5
"R007","F","inland",45,0,2
"R008","F","inland",46,0,3
"R009","F","inland",47,0,6
"R017","F","inland",40,64,71
"R018","F","inland",42,52,55
"R007","F","inland",38,0,15
"R008","F","inland",39,0,13
"R008","F","inland",44,0,12
"R012","F","inland",49,0,6
"R006","M","inland",32,0,15
"R007","M","inland",32,0,18
"R008","M","inland",33,0,19
"R009","M","inland",35,0,12
"R010","M","inland",36,0,10
"R011","M","inland",38,3,14
"R012","M","inland",40,2,15
"R013","M","inland",41,4,16
"R014","M","inland",43,8,17
"R015","M","inland",45,11,22
"R016","M","inland",46,10,17
"R006","F","inland",46,0,8
"R007","F","inland",48,0,4
"R008","F","inland",48,0,7
"R009","F","inland",49,0,5
"R006","F","inland",24,0,40
"R007","F","inland",24,0,44
"R011","M","inland",47,0,7
"R012","M","inland",49,0,2
"R006","F","inland",29,0,38
"R006","M","inland",35,0,21
"R007","F","inland",28,0,47
"R008","F","inland",29,0,42
"R009","F","inland",31,0,23
"R010","F","inland",32,0,17
"R011","F","inland",32,6,40
"R012","F","inland",34,6,38
"R013","F","inland",36,13,25
"R014","F","inland",37,16,43
"R015","F","inland",39,21,44
"R006","M","inland",33,0,18
"R008","M","inland",35,0,20
"R009","M","inland",36,0,15
"R006","F","inland",30,0,38
"R009","F","inland",30,0,34
"R011","M","inland",42,1,10
"R012","M","inland",44,1,10
"R014","M","inland",47,3,12
"R006","M","inland",30,0,23
"R007","F","inland",33,0,31
"R007","F","inland",44,0,7
"R009","F","inland",46,0,5
"R010","F","inland",47,0,5
"R012","M","inland",32,3,18
"R013","M","inland",33,2,24
"R015","F","inland",45,11,24
"R016","F","inland",47,16,26
"R017","F","inland",48,21,23
"R015","F","fishing",38,12,25
"R012","F","inland",29,4,37
"R013","F","inland",31,10,37
"R014","F","inland",33,20,43
"R015","F","inland",34,32,59
"R016","F","inland",36,46,58
"R017","F","inland",38,61,65
"R006","F","inland",42,0,9
"R007","F","inland",43,0,8
"R010","F","inland",24,0,21
"R015","F","fishing",31,14,38
"R015S","F","fishing",31,11,31
"R016","F","fishing",32,22,36
"R017","F","fishing",34,30,37
"R018","F","fishing",36,41,42
"R018","F","inland",30,54,65
"R007","F","inland",36,0,26
"R008","F","inland",37,0,24
"R010","F","inland",39,0,19
"R011","F","inland",41,9,23
"R012","F","inland",43,6,17
"R013","F","inland",44,11,25
"R014","F","inland",46,13,21
"R011","M","inland",28,1,21
"R011","F","inland",30,3,39
"R012","F","inland",32,10,44
"R006","F","inland",37,0,14
"R009","F","inland",40,0,14
"R006","M","inland",25,0,13
"R010","F","inland",31,0,38
"R015","F","fishing",33,18,37
"R011","F","inland",34,7,25
"R012","F","inland",36,9,18
"R014","F","inland",39,9,21
"R007","F","inland",34,0,26
"R006","F","inland",38,0,11
"R007","F","inland",39,0,8
"R008","F","inland",40,0,10
"R009","F","inland",41,0,9
"R010","F","inland",42,0,8
"R011","F","inland",45,0,11
"R012","F","inland",46,3,12
"R013","F","inland",48,3,13
"R010","F","inland",33,0,29
"R011","F","inland",36,4,17
"R006","F","inland",35,0,30
"R009","M","inland",23,0,11
"R011","M","inland",26,0,20
"R013","M","inland",29,0,25
"R012","F","inland",31,13,43
"R013","F","inland",33,10,29
"R015","F","inland",36,29,58
"R016","F","inland",38,46,58
"R018","F","inland",41,52,54
"R018","F","inland",29,41,52
"R014","F","inland",34,12,30
"R015","F","inland",35,19,48
"R008","M","inland",34,0,23
"R012","M","inland",39,4,12
"R017","M","inland",48,18,21
"R018","M","inland",49,15,16
"R013","M","inland",31,0,13
"R014","M","inland",33,1,20
"R015","M","inland",34,5,30
"R016","M","inland",36,20,28
"R017","M","inland",38,25,29
"R018","M","inland",40,28,30
"R008","F","inland",33,0,28
"R009","F","inland",34,0,17
"R010","F","inland",35,0,17
"R012","F","inland",38,8,23
"R013","F","inland",40,6,18
"R014","F","inland",41,12,22
"R015","F","inland",43,16,26
"R017","F","inland",46,23,24
"R007","F","inland",22,0,21
"R014","F","inland",42,8,15
"R015","F","inland",44,12,27
"R016","F","inland",46,20,23
"R009","M","inland",34,0,11
"R014","F","inland",35,18,46
"R008","M","inland",20,0,7
"R009","M","inland",21,0,7
"R010","M","inland",21,0,7
"R011","M","inland",23,0,8
"R012","M","inland",25,1,14
"R013","M","inland",27,3,20
"R014","M","inland",28,3,18
"R015","M","inland",30,7,26
"R016","M","inland",32,17,26
"R017","M","inland",33,11,19
"R018","M","inland",35,20,30
