"ROUND","LOC_LABEL","SEX_LABEL","AGE_LABEL","N","HIV_N","VLNS_N","ARV_N","LOC","SEX","AGE","ROW_ID","NONVLNS","EMPIRICAL_NONVLNS_IN_HIV","EMPIRICAL_VLNS_IN_HIV"
15,"fishing","M",15,0,0,0,0,1,1,1,1,0,NA,NA
15.5,"fishing","M",15,0,0,0,0,1,1,1,2,0,NA,NA
16,"fishing","M",15,16,0,0,0,1,1,1,3,0,NA,NA
17,"fishing","M",15,24,1,1,0,1,1,1,4,0,0,1
18,"fishing","M",15,32,0,0,0,1,1,1,5,0,NA,NA
15,"inland","M",15,0,0,0,0,0,1,1,6,0,NA,NA
15.5,"inland","M",15,0,0,0,0,0,1,1,7,0,NA,NA
16,"inland","M",15,282,1,0,0,0,1,1,8,1,1,0
17,"inland","M",15,271,1,0,0,0,1,1,9,1,1,0
18,"inland","M",15,317,4,4,0,0,1,1,10,0,0,1
15,"fishing","F",15,0,0,0,0,1,0,1,11,0,NA,NA
15.5,"fishing","F",15,0,0,0,0,1,0,1,12,0,NA,NA
16,"fishing","F",15,14,2,2,0,1,0,1,13,0,0,1
17,"fishing","F",15,19,1,0,0,1,0,1,14,1,1,0
18,"fishing","F",15,24,0,0,0,1,0,1,15,0,NA,NA
15,"inland","F",15,1,1,0,0,0,0,1,16,1,1,0
15.5,"inland","F",15,0,0,0,0,0,0,1,17,0,NA,NA
16,"inland","F",15,303,2,2,0,0,0,1,18,0,0,1
17,"inland","F",15,308,5,2,0,0,0,1,19,3,0.6,0.4
18,"inland","F",15,329,2,0,0,0,0,1,20,2,1,0
15,"fishing","M",16,0,0,0,0,1,1,2,21,0,NA,NA
15.5,"fishing","M",16,0,0,0,0,1,1,2,22,0,NA,NA
16,"fishing","M",16,27,0,0,0,1,1,2,23,0,NA,NA
17,"fishing","M",16,24,0,0,0,1,1,2,24,0,NA,NA
18,"fishing","M",16,39,0,0,0,1,1,2,25,0,NA,NA
15,"inland","M",16,0,0,0,0,0,1,2,26,0,NA,NA
15.5,"inland","M",16,0,0,0,0,0,1,2,27,0,NA,NA
16,"inland","M",16,282,0,0,0,0,1,2,28,0,NA,NA
17,"inland","M",16,349,0,0,0,0,1,2,29,0,NA,NA
18,"inland","M",16,334,1,0,0,0,1,2,30,1,1,0
15,"fishing","F",16,0,0,0,0,1,0,2,31,0,NA,NA
15.5,"fishing","F",16,0,0,0,0,1,0,2,32,0,NA,NA
16,"fishing","F",16,16,1,0,0,1,0,2,33,1,1,0
17,"fishing","F",16,20,1,1,0,1,0,2,34,0,0,1
18,"fishing","F",16,25,3,2,0,1,0,2,35,1,0.333333333333333,0.666666666666667
15,"inland","F",16,0,0,0,0,0,0,2,36,0,NA,NA
15.5,"inland","F",16,0,0,0,0,0,0,2,37,0,NA,NA
16,"inland","F",16,285,1,1,0,0,0,2,38,0,0,1
17,"inland","F",16,342,4,2,0,0,0,2,39,2,0.5,0.5
18,"inland","F",16,319,4,2,0,0,0,2,40,2,0.5,0.5
15,"fishing","M",17,0,0,0,0,1,1,3,41,0,NA,NA
15.5,"fishing","M",17,0,0,0,0,1,1,3,42,0,NA,NA
16,"fishing","M",17,27,0,0,0,1,1,3,43,0,NA,NA
17,"fishing","M",17,28,0,0,0,1,1,3,44,0,NA,NA
18,"fishing","M",17,48,0,0,0,1,1,3,45,0,NA,NA
15,"inland","M",17,0,0,0,0,0,1,3,46,0,NA,NA
15.5,"inland","M",17,0,0,0,0,0,1,3,47,0,NA,NA
16,"inland","M",17,308,1,1,0,0,1,3,48,0,0,1
17,"inland","M",17,283,1,1,0,0,1,3,49,0,0,1
18,"inland","M",17,319,1,0,0,0,1,3,50,1,1,0
15,"fishing","F",17,7,7,6,0,1,0,3,51,1,0.142857142857143,0.857142857142857
15.5,"fishing","F",17,0,0,0,0,1,0,3,52,0,NA,NA
16,"fishing","F",17,32,2,1,0,1,0,3,53,1,0.5,0.5
17,"fishing","F",17,36,2,1,0,1,0,3,54,1,0.5,0.5
18,"fishing","F",17,41,3,2,0,1,0,3,55,1,0.333333333333333,0.666666666666667
15,"inland","F",17,1,1,1,0,0,0,3,56,0,0,1
15.5,"inland","F",17,0,0,0,0,0,0,3,57,0,NA,NA
16,"inland","F",17,268,8,5,0,0,0,3,58,3,0.375,0.625
17,"inland","F",17,262,4,1,0,0,0,3,59,3,0.75,0.25
18,"inland","F",17,312,9,3,0,0,0,3,60,6,0.666666666666667,0.333333333333333
15,"fishing","M",18,2,2,2,0,1,1,4,61,0,0,1
15.5,"fishing","M",18,0,0,0,0,1,1,4,62,0,NA,NA
16,"fishing","M",18,48,0,0,0,1,1,4,63,0,NA,NA
17,"fishing","M",18,42,0,0,0,1,1,4,64,0,NA,NA
18,"fishing","M",18,49,0,0,0,1,1,4,65,0,NA,NA
