"AGEYRS","SEX","COMM","EMPIRICAL_PREVALENCE","PREVALENCE_CL","PREVALENCE_CU","PREVALENCE_M","ROUND"
15,"F","inland",0,0.0133051279161748,0.0430586458413028,0.0257598292219736,"R010"
16,"F","inland",0.0163934426229508,0.0179660871021099,0.0467518477884173,0.0307075847302663,"R010"
17,"F","inland",0.0300751879699248,0.0241237136093016,0.0513593368241996,0.0366770083853142,"R010"
18,"F","inland",0.0569620253164557,0.0318905346728077,0.0576674717939807,0.0438164046403538,"R010"
19,"F","inland",0.0621761658031088,0.0407412518231772,0.0656480489366782,0.052190413950653,"R010"
20,"F","inland",0.0747663551401869,0.0504073330221897,0.0755270775844362,0.0618992057701253,"R010"
21,"F","inland",0.110526315789474,0.0609736012401934,0.0867742386127141,0.0728371792706287,"R010"
22,"F","inland",0.110599078341014,0.0728690833068963,0.0991329399710437,0.0849421382709822,"R010"
23,"F","inland",0.088,0.0853763817898785,0.112536873548074,0.0981098691106916,"R010"
24,"F","inland",0.1,0.0983083364402836,0.127031856220731,0.112042718020163,"R010"
25,"F","inland",0.130841121495327,0.111325230573287,0.14275172591396,0.126520037009261,"R010"
26,"F","inland",0.136363636363636,0.124633174880551,0.158467213103515,0.141333747501666,"R010"
27,"F","inland",0.154696132596685,0.138499899079262,0.173948754712408,0.155961191538478,"R010"
28,"F","inland",0.169398907103825,0.151960564862162,0.188938964721736,0.169890896023917,"R010"
29,"F","inland",0.189349112426035,0.164431844323572,0.203451255478908,0.182721544784428,"R010"
30,"F","inland",0.24025974025974,0.174695024677915,0.216648180428118,0.194133751656002,"R010"
31,"F","inland",0.277372262773723,0.182769746720835,0.227568665159634,0.203593122154401,"R010"
32,"F","inland",0.139344262295082,0.188988840217524,0.235669434523156,0.211054185051317,"R010"
33,"F","inland",0.25,0.192671282821466,0.240694663558162,0.215840624582498,"R010"
34,"F","inland",0.186046511627907,0.193617005771044,0.243777594117998,0.21811018311784,"R010"
35,"F","inland",0.2125,0.192438014219605,0.245004185241796,0.218144625005147,"R010"
36,"F","inland",0.150537634408602,0.188697292909858,0.243525535869298,0.215767064163389,"R010"
37,"F","inland",0.228070175438596,0.184141858108822,0.239748960635775,0.211295691020961,"R010"
38,"F","inland",0.182926829268293,0.17755998397024,0.233128381468766,0.204546038470081,"R010"
39,"F","inland",0.263888888888889,0.169532588269664,0.224820993153482,0.195915931159347,"R010"
40,"F","inland",0.214285714285714,0.159955263319696,0.2147377880231,0.185766587668968,"R010"
41,"F","inland",0.180555555555556,0.149058859989508,0.203027017609979,0.17435064941578,"R010"
42,"F","inland",0.111111111111111,0.137015449521461,0.189629265132381,0.162072104384485,"R010"
43,"F","inland",0.109756097560976,0.124821355529667,0.1762335812651,0.149344978265728,"R010"
44,"F","inland",0.149253731343284,0.112050092342928,0.163041367995416,0.136411604137321,"R010"
45,"F","inland",0.157142857142857,0.0989192853570079,0.150896235218978,0.123619936604956,"R010"
46,"F","inland",0.102941176470588,0.0856930852335656,0.140264333744028,0.111302482978983,"R010"
47,"F","inland",0.0980392156862745,0.0728064205359629,0.130502940992635,0.0997758765352543,"R010"
48,"F","inland",0.0666666666666667,0.0606854826576995,0.122790978669782,0.0888629708038207,"R010"
49,"F","inland",0.05,0.0493610270179596,0.117171193383591,0.0790791553323979,"R010"
15,"M","inland",0,0.000131132964929274,0.0103507372787293,0.00192071025620663,"R010"
16,"M","inland",0,0.000274916980054456,0.0105877317070065,0.00266927536248133,"R010"
17,"M","inland",0,0.000616981926913548,0.0122876279507144,0.00400832383219909,"R010"
18,"M","inland",0,0.00148477880474766,0.0156874899567676,0.00635311044146396,"R010"
19,"M","inland",0.00746268656716418,0.00358066718625693,0.020792160902346,0.0103287618934989,"R010"
20,"M","inland",0.00819672131147541,0.00828108316443103,0.0281196755896201,0.0167470672732279,"R010"
21,"M","inland",0.056,0.0165143820885391,0.0396059043666571,0.0264862561896119,"R010"
22,"M","inland",0.0695652173913043,0.0273334973048992,0.058128997613626,0.0393438040526065,"R010"
23,"M","inland",0.078740157480315,0.039751632516129,0.0798843024737418,0.0544310698387947,"R010"
24,"M","inland",0.0728476821192053,0.0527259379995739,0.0976903997698192,0.0706192377881349,"R010"
25,"M","inland",0.0964912280701754,0.0658264275557355,0.110965386139289,0.0859465261549745,"R010"
26,"M","inland",0.09375,0.076795717683791,0.123528033592248,0.0986336832352611,"R010"
27,"M","inland",0.107142857142857,0.08544887259658,0.134125087457163,0.109290210299114,"R010"
28,"M","inland",0.105691056910569,0.092915577616977,0.143411682574675,0.118039564514936,"R010"
29,"M","inland",0.158273381294964,0.100929068472392,0.150360656750609,0.125405519630458,"R010"
30,"M","inland",0.0825688073394495,0.108045117378651,0.158164541066672,0.132036686729029,"R010"
31,"M","inland",0.153846153846154,0.112990950153368,0.167194851704045,0.137930960358346,"R010"
32,"M","inland",0.179775280898876,0.116819218603132,0.175480307359648,0.143184169929086,"R010"
33,"M","inland",0.193548387096774,0.120779532253771,0.182116080891341,0.148281246118392,"R010"
34,"M","inland",0.126315789473684,0.124615091253722,0.186129810446806,0.15325516123045,"R010"
35,"M","inland",0.164556962025316,0.127267587907604,0.191962274976826,0.159121765690852,"R010"
36,"M","inland",0.128205128205128,0.129550729143706,0.200691132684617,0.16666938146735,"R010"
37,"M","inland",0.15,0.13632966398191,0.211843731989142,0.175737943919281,"R010"
38,"M","inland",0.191176470588235,0.147518330952146,0.224458768020833,0.185783654361502,"R010"
39,"M","inland",0.224137931034483,0.158203593426444,0.240210252842896,0.19584009788455,"R010"
40,"M","inland",0.276595744680851,0.163623452524357,0.256220159974816,0.203620643711874,"R010"
41,"M","inland",0.2,0.163235987037186,0.266831484344245,0.206992777990925,"R010"
42,"M","inland",0.25,0.158211732080022,0.265019521321266,0.20395121495991,"R010"
43,"M","inland",0.189189189189189,0.148870603507066,0.250458893255843,0.193290809930249,"R010"
44,"M","inland",0.148148148148148,0.13295584461087,0.229150347618492,0.176635785419001,"R010"
45,"M","inland",0.0740740740740741,0.111343810840136,0.207439128247462,0.156927524362606,"R010"
46,"M","inland",0.138888888888889,0.0894200297115327,0.185243991122965,0.135646388978973,"R010"
47,"M","inland",0.153846153846154,0.0706566533626005,0.167051968555948,0.11465906991906,"R010"
48,"M","inland",0.03125,0.0529195478034944,0.153435007644727,0.0961232038831229,"R010"
49,"M","inland",0.107142857142857,0.0373306173393432,0.14626600112577,0.0803673181390273,"R010"
15,"F","inland",0,0.0118003499488358,0.0429130321181654,0.0262262130096401,"R011"
16,"F","inland",0.0217391304347826,0.0172122569456656,0.0477345115112516,0.0317883714439764,"R011"
17,"F","inland",0.0357142857142857,0.0243690544958771,0.0536745894696219,0.0384689539298318,"R011"
18,"F","inland",0.0290697674418605,0.0335492194733803,0.0607744206041951,0.0464253846199494,"R011"
