"ROUND","COMM","SEX","quantile","CL","CU","M"
"10","inland","F","C10",19,21.4,20.4
"10","inland","F","C25",23,24.5,24
"10","inland","F","C50",28,29,28
"10","inland","F","C75",33,34.5,33.5
"10","inland","F","C90",39.2,41.2,40.2
"10","inland","M","C10",23.4,25.4,24.4
"10","inland","M","C25",26.5,28.5,27.5
"10","inland","M","C50",31,33,32
"10","inland","M","C75",36.5,38.5,37.5
"10","inland","M","C90",41.6,43.6,42.6
"11","inland","F","C10",19.4,21.4,20.4
"11","inland","F","C25",23,24.5,24
"11","inland","F","C50",28,29,29
"11","inland","F","C75",33.5,34.5,34
"11","inland","F","C90",39.2,41.6,40.2
"11","inland","M","C10",24.4,26.4,25.4
"11","inland","M","C25",27.5,29,28
"11","inland","M","C50",31,33,32
"11","inland","M","C75",37,39,38
"11","inland","M","C90",41.6,43.6,42.6
"12","inland","F","C10",19.4,22,21
"12","inland","F","C25",23.5,25,24.5
"12","inland","F","C50",28,30,29
"12","inland","F","C75",33.5,35.5,34.5
"12","inland","F","C90",40.2,42.2,41.2
"12","inland","M","C10",24.4,26,25.4
"12","inland","M","C25",27,28.5,28
"12","inland","M","C50",31,33,32
"12","inland","M","C75",37,39.5,38.5
"12","inland","M","C90",42.6,44.6,43.6
"13","inland","F","C10",20.4,22.4,21.4
"13","inland","F","C25",24,25.5,25
"13","inland","F","C50",29,30,30
"13","inland","F","C75",34.5,36.5,35.5
"13","inland","F","C90",41.2,43.4099999999999,42.2
"13","inland","M","C10",23.4,26.4,25.4
"13","inland","M","C25",27.5,29.5,28.5
"13","inland","M","C50",32,34,33
"13","inland","M","C75",37.5,39.5,38.5
"13","inland","M","C90",42.2,44.6,43.6
"14","inland","F","C10",21.4,22.4,22
"14","inland","F","C25",24.5,25.5,25
"14","inland","F","C50",29,30,30
"14","inland","F","C75",34.5,36.5,35.5
"14","inland","F","C90",40.2,42.2,41.2
"14","inland","M","C10",23.4,25.4,24.4
"14","inland","M","C25",27.5,29.5,28.5
"14","inland","M","C50",32,34,33
"14","inland","M","C75",37.5,39.5,38.5
"14","inland","M","C90",42.6,44.6,43.6
"15","fishing","F","C10",21,22.4,21.4
"15","fishing","F","C25",24,25,24.5
"15","fishing","F","C50",28,29,29
"15","fishing","F","C75",32.5,33.5,33.5
"15","fishing","F","C90",37.2,38.6,37.6
"15","fishing","M","C10",24.4,25.4,24.4
"15","fishing","M","C25",27,28,27.5
"15","fishing","M","C50",31,32,32
"15","fishing","M","C75",36,37.5,36.5
"15","fishing","M","C90",40.6,42.2,41.6
"15","inland","F","C10",21.4,23,22
"15","inland","F","C25",24.5,26,25
"15","inland","F","C50",28,30,29
"15","inland","F","C75",33.5,36.5,35
"15","inland","F","C90",39.6,43.6,41.8
"15","inland","M","C10",23.4,25.4,24.4
"15","inland","M","C25",27.5,29,28
"15","inland","M","C50",32,34,33
"15","inland","M","C75",37.5,39.5,38.5
"15","inland","M","C90",42.6,44.6,43.6
"16","fishing","F","C10",20,21.4,20.4
"16","fishing","F","C25",23,24.5,23.5
"16","fishing","F","C50",27,29,28
"16","fishing","F","C75",32,33.5,32.5
"16","fishing","F","C90",37.2,39.6,38.2
"16","fishing","M","C10",24.4,25.4,25
"16","fishing","M","C25",27,28,27.5
"16","fishing","M","C50",31,32,31
"16","fishing","M","C75",35.5,37.5,36.5
"16","fishing","M","C90",40.6,42.6,41.6
"16","inland","F","C10",20.4,22.4,21.4
"16","inland","F","C25",24,25.5,25
"16","inland","F","C50",29,30,30
"16","inland","F","C75",34.5,36.5,35.5
"16","inland","F","C90",40.6,42.6,41.6
"16","inland","M","C10",23.8,26,25.4
"16","inland","M","C25",27.5,29.5,28.5
"16","inland","M","C50",32,34,33
"16","inland","M","C75",37.5,40,39
"16","inland","M","C90",43.2,45.6,44.6
"17","fishing","F","C10",21,22.4,21.4
"17","fishing","F","C25",24,25.5,24.5
"17","fishing","F","C50",28,30,29
"17","fishing","F","C75",33.5,35.5,34.5
"17","fishing","F","C90",38.2,40.6,39.6
"17","fishing","M","C10",25.4,27,26
"17","fishing","M","C25",28,29.5,29
"17","fishing","M","C50",32,34,33
"17","fishing","M","C75",37.5,39.5,38.5
"17","fishing","M","C90",41.6,43.6,42.6
"17","inland","F","C10",20.4,22,21
"17","inland","F","C25",23.5,25,24
"17","inland","F","C50",28,30,29
"17","inland","F","C75",33.5,35.5,34.5
"17","inland","F","C90",38.6,41.2,39.6
"17","inland","M","C10",24.4,26.4,25.4
"17","inland","M","C25",28,30,29
"17","inland","M","C50",33,35,34
"17","inland","M","C75",38.5,41.5,40
"17","inland","M","C90",43.6,45.6,45.2
"18","fishing","F","C10",19.4,22,21
"18","fishing","F","C25",23,25,24
"18","fishing","F","C50",27,29,28
"18","fishing","F","C75",31.5,34.5,33
"18","fishing","F","C90",36.6,40.2,38.2
"18","fishing","M","C10",24.4,26.4,26
"18","fishing","M","C25",28,29.5,29
"18","fishing","M","C50",32,34,33
"18","fishing","M","C75",37,39,38
"18","fishing","M","C90",41.6,43.6,42.6
"18","inland","F","C10",20,22,21.4
"18","inland","F","C25",23.5,25,24.5
"18","inland","F","C50",28,30,29
"18","inland","F","C75",32.5,35.5,34
"18","inland","F","C90",38.2,42.2,40.2
"18","inland","M","C10",21.4,25.4,23.4
"18","inland","M","C25",26.5,29.5,28.5
"18","inland","M","C50",32,35,33
"18","inland","M","C75",37.5,40.5,38.5
"18","inland","M","C90",42.2,45.2,43.6
